epNum	episode	rating	ratingNum
1.1 	Pilot	7.3	875
1.2 	The Aftermath	7.6	718
1.3 	Blind Date	8	714
1.4 	Jack the Writer	7.7	652
1.5 	Jack-Tor	8.2	654
1.6 	Jack Meets Dennis	7.8	600
1.7 	Tracy Does Conan	8.3	672
1.8 	The Break-Up	8	580
1.9 	The Baby Show	8.1	570
1.10 	The Rural Juror	8.1	615
1.11 	The Head and the Hair	8.2	586
1.12 	Black Tie	8.6	738
1.13 	Up All Night	8.2	561
1.14 	The C Word	8	537
1.15 	Hard Ball	8.5	571
1.16 	The Source Awards	8	570
1.17 	The Fighting Irish	8	562
1.18 	Fireworks	8.4	558
1.19 	Corporate Crush	8	516
1.20 	Cleveland	8.1	550
1.21 	Hiatus	8.3	542
2.1 	SeinfeldVision	8.4	612
2.2 	Jack Gets in the Game	8.1	522
2.3 	The Collection	7.9	500
2.4 	Rosemary's Baby	8.2	559
2.5 	Greenzo	8.4	575
2.6 	Somebody to Love	8.3	524
2.7 	Cougars	8.3	541
2.8 	Secrets and Lies	8	487
2.9 	Ludachristmas	8.3	514
2.10 	Episode 210	8.1	554
2.11 	MILF Island	8.4	568
2.12 	Subway Hero	7.9	472
2.13 	Succession	8.4	514
2.14 	Sandwich Day	8.2	498
2.15 	Cooter	8.5	539
3.1 	Do-Over	8.3	547
3.2 	Believe in the Stars	8.6	582
3.3 	The One with the Cast of 'Night Court'	8.1	556
3.4 	Gavin Volure	8.2	502
3.5 	Reunion	8.6	541
3.6 	Christmas Special	7.8	449
3.7 	Señor Macho Solo	8.3	470
3.8 	Flu Shot	7.9	447
3.9 	Retreat to Move Forward	8.1	453
3.10 	Generalissimo	8.7	532
3.11 	St. Valentine's Day	8.4	496
3.12 	Larry King	8.3	448
3.13 	Goodbye, My Friend	8.3	454
3.14 	The Funcooker	8.4	463
3.15 	The Bubble	8.3	431
3.16 	Apollo, Apollo	8.7	474
3.17 	Cutbacks	7.8	412
3.18 	Jackie Jormp-Jomp	8.2	416
3.19 	The Ones	8.2	415
3.20 	The Natural Order	8.1	398
3.21 	Mamma Mia	8.3	420
3.22 	Kidney Now!	8.7	550
4.1 	Season 4	7.8	414
4.2 	Into the Crevasse	7.9	417
4.3 	Stone Mountain	7.9	412
4.4 	Audition Day	8	378
4.5 	The Problem Solvers	8	379
4.6 	Sun Tea	7.9	384
4.7 	Dealbreakers Talk Show #0001	8.4	414
4.8 	Secret Santa	8.1	394
4.9 	Klaus and Greta	8.5	416
4.10 	Black Light Attack!	8.1	372
4.11 	Winter Madness	7.7	367
4.12 	Verna	7.9	368
4.13 	Anna Howard Shaw Day	8.6	421
4.14 	Future Husband	8	337
4.15 	Don Geiss, America and Hope	8.3	350
4.16 	Floyd	8.1	347
4.17 	Lee Marvin vs. Derek Jeter	8.1	339
4.18 	Khonani	7.7	327
4.19 	Argus	7.9	320
4.20 	The Moms	8	344
4.21 	Emanuelle Goes to Dinosaur Land	8.3	358
4.22 	I Do Do	8.7	401
5.1 	The Fabian Strategy	8.2	373
5.2 	When It Rains, It Pours	8.4	372
5.3 	Let's Stay Together	8	333
5.4 	Live Show	8.7	584
5.5 	Reaganing	8.3	360
5.6 	Gentleman's Intermission	8.2	340
5.7 	Brooklyn Without Limits	8.2	363
5.8 	College	8.2	341
5.9 	Chain Reaction of Mental Anguish	7.9	331
5.10 	Christmas Attack Zone	8.2	339
5.11 	Mrs. Donaghy	8.4	362
5.12 	Operation Righteous Cowboy Lightning	8.7	385
5.13 	¡Qué Sorpresa!	8.2	338
5.14 	Double-Edged Sword	8.6	388
5.15 	It's Never Too Late for Now	8.4	357
5.16 	TGS Hates Women	8.5	436
5.17 	Queen of Jordan	7.6	458
5.18 	Plan B	8	327
5.19 	I Heart Connecticut	7.8	318
5.20 	100: Part 1	8.2	365
5.21 	100: Part 2	8.8	206
5.22 	Everything Sunny All the Time Always	8.1	357
5.23 	Respawn	7.9	322
6.1 	Dance Like Nobody's Watching	8.1	352
6.2 	Idiots Are People Two!	8.1	325
6.3 	Idiots Are People Three!	8.1	316
6.4 	The Ballad of Kenneth Parcell	7.9	317
6.5 	Today You Are a Man	8	295
6.6 	Hey, Baby, What's Wrong?: Part 1	8.1	330
6.7 	Hey, Baby, What's Wrong?: Part 2	8.2	203
6.8 	The Tuxedo Begins	8.5	377
6.9 	Leap Day	8.2	359
6.10 	Alexis Goodlooking and the Case of the Missing Whisky	7.9	285
6.11 	Standards and Practices	8.3	336
6.12 	St. Patrick's Day	7.8	297
6.13 	Grandmentor	7.7	282
6.14 	Kidnapped by Danger	8.5	331
6.15 	The Shower Principle	7.7	257
6.16 	Nothing Left to Lose	7.8	265
6.17 	Meet the Woggels!	7.7	275
6.18 	Murphy Brown Lied to Us	8	274
6.19 	Live from Studio 6H	8.8	460
6.20 	Queen of Jordan 2: The Mystery of the Phantom Pooper	7.3	335
6.21 	The Return of Avery Jessup	7.9	267
6.22 	What Will Happen to the Gang Next Year?	8.1	278
7.1 	The Beginning of the End	7.9	293
7.2 	Governor Dunston	7.8	288
7.3 	Stride of Pride	8	266
7.4 	Unwindulax	8.1	281
7.5 	There's No I in America	7.7	256
7.6 	Aunt Phatso vs. Jack Donaghy	7.7	250
7.7 	Mazel Tov, Dummies!	8.5	273
7.8 	My Whole Life Is Thunder	8.2	267
7.9 	Game Over	8.5	296
7.10 	Florida	8.1	254
7.11 	A Goon's Deed in a Weary World	8.5	286
7.12 	Hogcock!/Last Lunch	9	472
