epNum	episode	rating	ratingNum
1.1 	Pilot	8.5	2,864
1.2 	Purple Giraffe	8.2	2,003
1.3 	The Sweet Taste of Liberty	8.2	1,885
1.4 	Return of the Shirt	8.1	1,731
1.5 	Okay Awesome	8.4	1,842
1.6 	The Slutty Pumpkin	8.2	1,745
1.7 	Matchmaker	7.8	1,613
1.8 	The Duel	8.2	1,600
1.9 	Belly Full of Turkey	8.1	1,633
1.10 	The Pineapple Incident	9.2	2,503
1.11 	The Limo	8.3	1,688
1.12 	The Wedding	8.2	1,572
1.13 	Drumroll, Please	8.7	1,795
1.14 	Zip, Zip, Zip	8.2	1,513
1.15 	Game Night	9.1	1,976
1.16 	Cupcake	7.9	1,447
1.17 	Life Among the Gorillas	7.8	1,455
1.18 	Nothing Good Happens After 2 AM	8.4	1,613
1.19 	Mary the Paralegal	8.9	1,790
1.20 	Best Prom Ever	7.9	1,445
1.21 	Milk	8.2	1,433
1.22 	Come On	8.8	1,845
2.1 	Where Were We?	8.2	1,458
2.2 	The Scorpion and the Toad	8.3	1,410
2.3 	Brunch	8.5	1,479
2.4 	Ted Mosby, Architect	8.8	1,720
2.5 	World's Greatest Couple	8.8	1,607
2.6 	Aldrin Justice	8.2	1,405
2.7 	Swarley	9	2,053
2.8 	Atlantic City	8	1,390
2.9 	Slap Bet	9.4	3,022
2.10 	Single Stamina	8.3	1,408
2.11 	How Lily Stole Christmas	8.2	1,406
2.12 	First Time in New York	8.3	1,483
2.13 	Columns	8	1,330
2.14 	Monday Night Football	8.4	1,442
2.15 	Lucky Penny	8.4	1,409
2.16 	Stuff	8.5	1,465
2.17 	Arrivederci, Fiero	8.3	1,495
2.18 	Moving Day	8.2	1,345
2.19 	Bachelor Party	8.4	1,400
2.20 	Showdown	8.9	1,515
2.21 	Something Borrowed	8.6	1,435
2.22 	Something Blue	8.7	1,447
3.1 	Wait for It	8.4	1,552
3.2 	We're Not from Here	7.8	1,295
3.3 	Third Wheel	8.2	1,357
3.4 	Little Boys	7.8	1,303
3.5 	How I Met Everyone Else	8.9	1,810
3.6 	I'm Not That Guy	8.1	1,279
3.7 	Dowisetrepla	8.1	1,300
3.8 	Spoiler Alert	9	1,760
3.9 	Slapsgiving	8.9	1,764
3.10 	The Yips	8	1,335
3.11 	The Platinum Rule	8.5	1,380
3.12 	No Tomorrow	8.2	1,340
3.13 	Ten Sessions	8.8	1,667
3.14 	The Bracket	8.7	1,400
3.15 	The Chain of Screaming	8	1,268
3.16 	Sandcastles in the Sand	8.3	1,439
3.17 	The Goat	8.2	1,280
3.18 	Rebound Bro	8.1	1,272
3.19 	Everything Must Go	7.8	1,301
3.20 	Miracles	8.6	1,377
4.1 	Do I Know You?	8.7	1,578
4.2 	The Best Burger in New York	8.5	1,587
4.3 	I Heart NJ	7.7	1,263
4.4 	Intervention	8.8	1,536
4.5 	Shelter Island	8.3	1,326
4.6 	Happily Ever After	8	1,237
4.7 	Not a Father's Day	7.9	1,224
4.8 	Woooo!	8.2	1,363
4.9 	The Naked Man	9.2	2,198
4.10 	The Fight	8.3	1,303
4.11 	Little Minnesota	8.2	1,275
4.12 	Benefits	8.6	1,419
4.13 	Three Days of Snow	8.4	1,361
4.14 	The Possimpible	8.4	1,319
4.15 	The Stinsons	8.3	1,359
4.16 	Sorry, Bro	7.9	1,263
4.17 	The Front Porch	8.4	1,312
4.18 	Old King Clancy	7.7	1,201
4.19 	Murtaugh	8.5	1,331
4.20 	Mosbius Designs	7.7	1,210
4.21 	The Three Days Rule	8.6	1,351
4.22 	Right Place Right Time	8.2	1,256
4.23 	As Fast as She Can	7.7	1,206
4.24 	The Leap	8.7	1,476
5.1 	Definitions	8.6	1,511
5.2 	Double Date	8.1	1,278
5.3 	Robin 101	8.3	1,313
5.4 	The Sexless Innkeeper	7.9	1,359
5.5 	Duel Citizenship	7.8	1,234
5.6 	Bagpipes	7.8	1,169
5.7 	The Rough Patch	7.8	1,278
5.8 	The Playbook	9.4	3,056
5.9 	Slapsgiving 2: Revenge of the Slap	7.9	1,334
5.10 	The Window	8.1	1,267
5.11 	Last Cigarette Ever	7.8	1,345
5.12 	Girls vs. Suits	9.1	2,345
5.13 	Jenkins	8.6	1,441
5.14 	Perfect Week	8.8	1,559
5.15 	Rabbit or Duck	8.1	1,265
5.16 	Hooked	7.8	1,230
5.17 	Of Course	8.3	1,416
5.18 	Say Cheese	8.2	1,256
5.19 	Zoo or False	7.6	1,245
5.20 	Home Wreckers	7.8	1,214
5.21 	Twin Beds	7.7	1,176
5.22 	Robots vs. Wrestlers	8.2	1,272
5.23 	The Wedding Bride	8.2	1,373
5.24 	Doppelgangers	8.4	1,323
6.1 	Big Days	8.2	1,484
6.2 	Cleaning House	8.1	1,382
6.3 	Unfinished	7.7	1,217
6.4 	Subway Wars	8.5	1,442
6.5 	Architect of Destruction	7.8	1,204
6.6 	Baby Talk	7.8	1,211
6.7 	Canning Randy	7.7	1,173
6.8 	Natural History	8.1	1,252
6.9 	Glitter	8.5	1,558
6.10 	Blitzgiving	9.1	2,055
6.11 	The Mermaid Theory	7.9	1,289
6.12 	False Positive	8.2	1,237
6.13 	Bad News	8.8	1,772
6.14 	Last Words	8.4	1,485
6.15 	Oh Honey	8.8	1,803
6.16 	Desperation Day	8	1,233
6.17 	Garbage Island	7.7	1,119
6.18 	A Change of Heart	8.3	1,292
6.19 	Legendaddy	8.3	1,345
6.20 	The Exploding Meatball Sub	7.7	1,137
6.21 	Hopeless	7.9	1,141
6.22 	The Perfect Cocktail	7.8	1,159
6.23 	Landmarks	7.7	1,105
6.24 	Challenge Accepted	8.4	1,400
7.1 	The Best Man	8.6	2,055
7.2 	The Naked Truth	8.2	1,493
7.3 	Ducky Tie	8.8	1,805
7.4 	The Stinson Missile Crisis	8.1	1,347
7.5 	Field Trip	7.5	1,233
7.6 	Mystery vs. History	7.7	1,299
7.7 	Noretta	7.8	1,297
7.8 	The Slutty Pumpkin Returns	7.5	1,371
7.9 	Disaster Averted	8.3	1,398
7.10 	Tick Tick Tick	8.9	1,973
7.11 	The Rebound Girl	7.9	1,367
7.12 	Symphony of Illumination	8.7	1,923
7.13 	Tailgate	7.6	1,349
7.14 	46 Minutes	7.7	1,434
7.15 	The Burning Beekeeper	7	1,476
7.16 	The Drunk Train	8.1	1,438
7.17 	No Pressure	8.4	1,467
7.18 	Karma	7.9	1,260
7.19 	The Broath	8.6	1,588
7.20 	Trilogy Time	8.5	1,452
7.21 	Now We're Even	8	1,217
7.22 	Good Crazy	7.7	1,164
7.23 	The Magician's Code: Part 1	8.5	1,525
7.24 	The Magician's Code: Part 2	8.8	1,827
8.1 	Farhampton	8.5	2,824
8.2 	The Pre-Nup	7.3	1,588
8.3 	Nannies	7.3	1,406
8.4 	Who Wants to Be a Godparent	7.4	1,437
8.5 	The Autumn of Breakups	7.3	1,452
