epNum	episode	rating	ratingNum
1.1 	Prescription for Death	7.9	218
1.2 	Subterranean Homeboy Blues	7.7	174
1.3 	The Reaper's Helper	7.6	162
1.4 	Kiss the Girls and Make Them Die	7.4	144
1.5 	Happily Ever After	7.5	138
1.6 	Everybody's Favorite Bagman	7.6	155
1.7 	By Hooker, by Crook	7.6	137
1.8 	Poison Ivy	7.8	135
1.9 	Indifference	8.2	159
1.10 	Prisoner of Love	7.2	133
1.11 	Out of the Half-Light	7.8	139
1.12 	Life Choice	8	135
1.13 	A Death in the Family	7.5	123
1.14 	The Violence of Summer	7.8	143
1.15 	The Torrents of Greed: Part 1	7.9	124
1.16 	The Torrents of Greed: Part 2	8	120
1.17 	Mushrooms	8	124
1.18 	The Secret Sharers	7.5	112
1.19 	The Serpent's Tooth	7.6	109
1.20 	The Troubles	7.7	119
1.21 	Sonata for Solo Organ	7.9	120
1.22 	The Blue Wall	7.9	115
2.1 	Confession	7.8	119
2.2 	The Wages of Love	7.8	126
2.3 	Aria	7.8	112
2.4 	Asylum	7.4	106
2.5 	God Bless the Child	7.7	95
2.6 	Misconception	6.8	160
2.7 	In Memory Of	7.4	101
2.8 	Out of Control	7.3	97
2.9 	Renunciation	7.3	87
2.10 	Heaven	7.6	96
2.11 	His Hour Upon the Stage	7.3	93
2.12 	Star Struck	7.4	97
2.13 	Severance	7.8	92
2.14 	Blood Is Thicker...	7.5	99
2.15 	Trust	7.7	91
2.16 	Vengeance	7.5	91
2.17 	Sisters of Mercy	7.4	99
2.18 	Cradle to Grave	7.8	92
2.19 	The Fertile Fields	7.5	84
2.20 	Intolerance	7.4	92
2.21 	Silence	7.4	82
2.22 	The Working Stiff	7.8	90
3.1 	Skin Deep	7.4	98
3.2 	Conspiracy	7.6	77
3.3 	Forgiveness	7.6	77
3.4 	The Corporate Veil	7.7	83
3.5 	Wedded Bliss	7.5	80
3.6 	Helpless	8.2	104
3.7 	Self Defense	7.8	91
3.8 	Prince of Darkness	8.1	100
3.9 	Point of View	7.9	105
3.10 	Consultation	7.7	87
3.11 	Extended Family	7.5	83
3.12 	Right to Counsel	7.5	84
3.13 	Night & Fog	7.6	90
3.14 	Promises to Keep	7.5	90
3.15 	Mother Love	7.6	88
3.16 	Jurisdiction	7.6	83
3.17 	Conduct Unbecoming	7.6	89
3.18 	Animal Instinct	7.7	90
3.19 	Virus	7.5	83
3.20 	Securitate	7.3	82
3.21 	Manhood	8.1	98
3.22 	Benevolence	7.3	81
4.1 	Sweeps	7.5	98
4.2 	Volunteers	7.6	88
4.3 	Discord	7.3	77
4.4 	Profile	8.1	97
4.5 	Black Tie	7.5	86
4.6 	Pride and Joy	7.6	90
4.7 	Apocrypha	7.4	83
4.8 	American Dream	8.1	98
4.9 	Born Bad	7.9	94
4.10 	The Pursuit of Happiness	7.2	83
4.11 	Golden Years	7.5	79
4.12 	Snatched	7.5	85
4.13 	Breeder	7.7	82
4.14 	Censure	7.8	96
4.15 	Kids	7.3	81
4.16 	Big Bang	7.4	84
4.17 	Mayhem	8	107
4.18 	Wager	7.2	78
4.19 	Sanctuary	7.8	95
4.20 	Nurture	7.5	88
4.21 	Doubles	7.2	79
4.22 	Old Friends	8.2	105
5.1 	Second Opinion	7.9	92
5.2 	Coma	7.9	102
5.3 	Blue Bamboo	7.5	88
5.4 	Family Values	7.6	96
5.5 	White Rabbit	7.9	107
5.6 	Competence	7.8	97
5.7 	Precious	7.6	84
5.8 	Virtue	7.7	90
5.9 	Scoundrels	7.3	83
5.10 	House Counsel	8.1	96
5.11 	Guardian	7.4	82
5.12 	Progeny	7.4	86
5.13 	Rage	7.8	95
5.14 	Performance	7.8	102
5.15 	Seed	7.5	93
5.16 	Wannabe	7.2	89
5.17 	Act of God	7.7	86
5.18 	Privileged	7.7	76
5.19 	Cruel and Unusual	7.9	84
5.20 	Bad Faith	8	84
5.21 	Purple Heart	7.5	87
5.22 	Switch	7.7	91
5.23 	Pride	7.6	99
6.1 	Bitter Fruit	7.7	93
6.2 	Rebels	7.4	91
6.3 	Savages	8	98
6.4 	Jeopardy	7.8	91
6.5 	Hot Pursuit	7.7	97
6.6 	Paranoia	7.4	95
6.7 	Humiliation	7.8	90
6.8 	Angel	7.8	89
6.9 	Blood Libel	7.4	91
6.10 	Remand	7.7	87
6.11 	Corpus Delicti	7.6	86
6.12 	Trophy	7.9	88
6.13 	Charm City	8	86
6.14 	Custody	7.5	89
6.15 	Encore	8	96
6.16 	Savior	7.7	92
6.17 	Deceit	7.6	76
6.18 	Atonement	7.4	83
6.19 	Slave	7.8	87
6.20 	Girlfriends	7.8	95
6.21 	Pro Se	8.6	146
6.22 	Homesick	8.1	93
6.23 	Aftershock	8.9	277
7.1 	Causa Mortis	7.7	93
7.2 	I.D.	7.9	109
7.3 	Good Girl	7.3	90
7.4 	Survivor	7.8	90
7.5 	Corruption	8.1	87
7.6 	Double Blind	7.8	84
7.7 	Deadbeat	7.4	84
7.8 	Family Business	7.2	83
7.9 	Entrapment	7.1	82
7.10 	Legacy	8.1	102
7.11 	Menace	7.8	82
7.12 	Barter	7.8	81
7.13 	Matrimony	7.9	84
7.14 	Working Mom	7.8	78
7.15 	D-Girl	7.9	97
7.16 	Turnaround	7.9	95
7.17 	Showtime	8.4	92
7.18 	Mad Dog	8.3	100
7.19 	Double Down	8.3	85
7.20 	We Like Mike	8.1	87
7.21 	Passion	7.4	70
7.22 	Past Imperfect	7.7	77
7.23 	Terminal	8.1	82
8.1 	Thrill	7.8	106
8.2 	Denial	7.1	78
8.3 	Navy Blues	7.6	86
8.4 	Harvest	8.1	88
8.5 	Nullification	8	95
8.6 	Baby, It's You	7.7	85
8.7 	Blood	8.2	112
8.8 	Shadow	8.1	101
8.9 	Burned	7.5	86
8.10 	Ritual	7.9	92
8.11 	Under the Influence	8.3	91
8.12 	Expert	7.4	87
8.13 	Castoff	6.9	89
8.14 	Grief	7.7	93
8.15 	Faccia a Faccia	7.8	83
8.16 	Divorce	7.5	79
8.17 	Carrier	7.8	85
8.18 	Stalker	7.8	86
8.19 	Disappeared	7.7	78
8.20 	Burden	7.4	71
8.21 	Bad Girl	7.8	87
8.22 	Damaged	8.2	88
8.23 	Tabloid	7.5	76
8.24 	Monster	7.9	86
9.1 	Cherished	7.9	93
9.2 	DWB	7.9	82
9.3 	Bait	7.6	65
9.4 	Flight	7.9	73
9.5 	Agony	7.9	82
9.6 	Scrambled	7.6	77
9.7 	Venom	7.7	81
9.8 	Punk	7.8	87
9.9 	True North	7.5	83
9.10 	Hate	7.8	80
9.11 	Ramparts	8	79
9.12 	Haven	7.6	74
9.13 	Hunters	7.8	76
9.14 	Sideshow	7.9	69
9.15 	Disciple	7.6	79
9.16 	Harm	7.8	72
9.17 	Shield	7.5	69
9.18 	Juvenile	7.8	74
9.19 	Tabula Rasa	8.1	87
9.20 	Empire	7.8	113
9.21 	Ambitious	7.6	73
9.22 	Admissions	7.5	77
9.23 	Refuge	8.3	98
9.24 	Refuge	8.5	93
10.1 	Gunshow	7.8	97
10.2 	Killerz	8.1	125
10.3 	DNR	8	80
10.4 	Merger	8	93
10.5 	Justice	8	80
10.6 	Marathon	8.1	100
10.7 	Patsy	8.1	95
10.8 	Blood Money	7.9	93
10.9 	Sundown	7.6	79
10.10 	Loco Parentis	7.9	95
10.11 	Collision	7.4	68
10.12 	Mother's Milk	7.5	82
10.13 	Panic	7.3	82
10.14 	Entitled: Part 2	7.8	85
10.15 	Fools for Love	8.3	104
10.16 	Trade This	7.7	72
10.17 	Black, White and Blue	7.8	75
10.18 	Mega	7.6	79
10.19 	Surrender Dorothy	7.3	74
10.20 	Untitled	7.5	68
10.21 	Narcosis	7.6	64
10.22 	High & Low	7.7	77
10.23 	Stiff	7.6	74
10.24 	Vaya Con Dios	8	85
11.1 	Endurance	8.1	77
11.2 	Turnstile Justice	7.5	74
11.3 	Dissonance	7.7	69
11.4 	Standoff	8	63
11.5 	Return	7.4	75
11.6 	Burn Baby Burn	8	76
11.7 	Amends	7.7	72
11.8 	Thin Ice	7.5	80
11.9 	Hubris	8.2	89
11.10 	Whose Monkey Is It Anyway?	7.2	76
11.11 	Sunday in the Park with Jorge	7.3	65
11.12 	Teenage Wasteland	8	89
11.13 	Phobia	7.8	72
