epNum	episode	rating	ratingNum
1.1 	Pilot	7.1	272
1.2 	Hiring and Firing	7.3	206
1.3 	In the Club	7.2	203
1.4 	Halloween	7.1	161
1.5 	Danny Castellano Is My Gynecologist	7.9	170
1.6 	Thanksgiving	6.9	145
1.7 	Teen Patient	7.5	149
1.8 	Two to One	7.1	139
1.9 	Josh and Mindy's Christmas Party	7.9	156
1.10 	Mindy's Brother	6.5	136
1.11 	Bunk Bed	7	118
1.12 	Hooking Up Is Hard	7.2	120
1.13 	Harry & Sally	7.3	124
1.14 	Harry & Mindy	7.5	135
1.15 	Mindy's Minute	6.7	123
1.16 	The One That Got Away	7.4	124
1.17 	Mindy's Birthday	7.2	123
1.18 	Danny's Friend	6.9	112
1.19 	My Cool Christian Boyfriend	7.5	124
1.20 	Pretty Man	7.3	125
1.21 	Santa Fe	7.5	136
1.22 	Triathlon	7.3	126
1.23 	Frat Party	7.4	132
1.24 	Take Me with You	7.6	145
2.1 	All My Problems Solved Forever...	7	148
2.2 	The Other Dr. L	7.3	131
2.3 	Music Festival	7.1	127
2.4 	Magic Morgan	7.2	115
2.5 	Wiener Night	7.9	139
2.6 	Bro Club for Dudes	7	110
2.7 	Sk8er Man	7.3	122
2.8 	You've Got Sext	8.7	213
2.9 	Mindy Lahiri Is a Racist	7.3	108
2.10 	Wedding Crushers	7.7	108
2.11 	Christmas Party Sex Trap	8.3	138
2.12 	Danny Castellano Is My Personal Trainer	8.3	137
2.13 	L.A.	7.1	109
2.14 	The Desert	8.6	168
2.15 	French Me, You Idiot	8.1	92
2.16 	Indian BBW	7.6	111
2.17 	Be Cool	7.6	105
2.18 	Girl Crush	7.5	87
2.19 	Think Like a Peter	7.9	95
2.20 	An Officer and a Gynecologist	8	108
2.21 	Girl Next Door	7.9	102
2.22 	Danny and Mindy	9.1	206
3.1 	We're a Couple Now, Haters!	8.3	167
3.2 	Annette Castellano Is My Nemesis	7.8	108
3.3 	Crimes & Misdemeanors & Ex-BFs	7.5	108
3.4 	I Slipped	7.5	121
3.5 	The Devil Wears Lands' End	7.9	117
3.6 	Caramel Princess Time	8	98
3.7 	We Need to Talk About Annette	8	91
3.8 	Diary of a Mad Indian Woman	8.1	86
3.9 	How to Lose a Mom in Ten Days	7.8	82
3.10 	What About Peter?	7.9	77
3.11 	Christmas	8	85
3.12 	Stanford	7.6	74
3.13 	San Francisco Bae	7.5	105
3.14 	No More Mr. Noishe Guy	8.2	88
3.15 	Dinner at the Castellanos	8	112
3.16 	Lahiri Family Values	7.8	74
3.17 	Danny Castellano Is My Nutritionist	7.5	71
3.18 	Fertility Bites	7.3	74
3.19 	Confessions of a Catho-holic	7.6	82
3.20 	What to Expect When You're Expanding	7.6	70
3.21 	Best Man	8.3	102
4.1 	While I Was Sleeping	8.9	106
4.2 	C Is for Coward	8.8	55
4.3 	Leo Castellano Is My Son	8	21
