epNum	episode	rating	ratingNum
1.1 	Pilot	7	1,012
1.2 	Canvassing	7.2	819
1.3 	The Reporter	7.3	768
1.4 	Boys' Club	7.5	726
1.5 	The Banquet	7.4	699
1.6 	Rock Show	7.9	724
2.1 	Pawnee Zoo	8.1	751
2.2 	The Stakeout	8.2	704
2.3 	Beauty Pageant	7.9	675
2.4 	Practice Date	8.4	694
2.5 	Sister City	7.9	734
2.6 	Kaboom	7.8	649
2.7 	Greg Pikitis	8.3	725
2.8 	Ron and Tammy	8.3	714
2.9 	The Camel	8	642
2.10 	Hunting Trip	8.8	789
2.11 	Tom's Divorce	8	638
2.12 	Christmas Scandal	8.1	633
2.13 	The Set Up	8.2	639
2.14 	Leslie's House	8.1	637
2.15 	Sweetums	8.2	638
2.16 	Galentine's Day	7.8	628
2.17 	Woman of the Year	8.1	616
2.18 	The Possum	8.1	611
2.19 	Park Safety	8.3	638
2.20 	Summer Catalog	8.1	601
2.21 	94 Meetings	8.6	640
2.22 	Telethon	8.4	633
2.23 	The Master Plan	8.5	652
2.24 	Freddy Spaghetti	8.6	647
3.1 	Go Big or Go Home	8.3	635
3.2 	Flu Season	8.9	786
3.3 	Time Capsule	8.3	618
3.4 	Ron & Tammy: Part Two	8.5	651
3.5 	Media Blitz	8.2	595
3.6 	Indianapolis	8.1	593
3.7 	Harvest Festival	8.7	646
3.8 	Camping	8.1	597
3.9 	Fancy Party	8.9	745
3.10 	Soulmates	8.6	630
3.11 	Jerry's Painting	8.8	634
3.12 	Eagleton	8.4	599
3.13 	The Fight	8.8	740
3.14 	Road Trip	8.5	605
3.15 	The Bubble	8.3	564
3.16 	Li'l Sebastian	8.8	642
4.1 	I'm Leslie Knope	8.2	613
4.2 	Ron & Tammys	8.7	660
4.3 	Born & Raised	8.3	575
4.4 	Pawnee Rangers	8.3	641
4.5 	Meet 'n' Greet	7.9	542
4.6 	End of the World	8.5	625
4.7 	The Treaty	8.2	557
4.8 	Smallest Park	8.2	552
4.9 	The Trial of Leslie Knope	8.3	553
4.10 	Citizen Knope	8.5	561
4.11 	The Comeback Kid	8.4	616
4.12 	Campaign Ad	8.5	543
4.13 	Bowling for Votes	8.7	575
4.14 	Operation Ann	8.3	550
4.15 	Dave Returns	8.1	516
4.16 	Sweet Sixteen	7.8	492
4.17 	Campaign Shake-Up	8	480
4.18 	Lucky	8	497
4.19 	Live Ammo	8.1	501
4.20 	The Debate	8.8	594
4.21 	Bus Tour	8.2	506
4.22 	Win, Lose, or Draw	8.9	619
5.1 	Ms. Knope Goes to Washington	8.1	536
5.2 	Soda Tax	8.1	510
5.3 	How a Bill Becomes a Law	8.2	506
5.4 	Sex Education	8.3	513
5.5 	Halloween Surprise	8.8	609
5.6 	Ben's Parents	7.9	486
5.7 	Leslie vs. April	8	469
5.8 	Pawnee Commons	7.9	482
5.9 	Ron and Diane	8.9	630
5.10 	Two Parties	8.8	591
5.11 	Women in Garbage	8.3	491
5.12 	Ann's Decision	8	457
5.13 	Emergency Response	8.6	480
5.14 	Leslie and Ben	9.2	716
5.15 	Correspondents' Lunch	8.1	430
5.16 	Bailout	8.4	456
5.17 	Partridge	7.8	423
5.18 	Animal Control	8.5	452
5.19 	Article Two	8.2	442
5.20 	Jerry's Retirement	8.2	434
5.21 	Swing Vote	7.8	407
5.22 	Are You Better Off?	8.5	441
6.1 	London: Part 1	8.6	574
6.2 	London: Part 2	8.7	400
6.3 	The Pawnee-Eagleton Tip Off Classic	7.9	452
6.4 	Doppelgängers	8.2	463
6.5 	Gin It Up!	8	424
6.6 	Filibuster	8.2	422
6.7 	Recall Vote	7.7	397
6.8 	Fluoride	7.9	414
6.9 	The Cones of Dunshire	8.4	426
6.10 	Second Chunce	7.8	401
6.11 	New Beginnings	7.7	371
6.12 	Farmers Market	7.7	394
6.13 	Ann and Chris	8.9	552
6.14 	Anniversaries	7.9	389
6.15 	The Wall	7.8	369
6.16 	New Slogan	7.7	367
6.17 	Galentine's Day	7.9	360
6.18 	Prom	7.8	377
6.19 	Flu Season 2	8.4	412
6.20 	One in 8,000	8.2	371
6.21 	Moving Up: Part 1	9	587
6.22 	Moving Up: Part 2	9.4	793
7.1 	2017	7.9	552
7.2 	Ron & Jammy	8.3	492
7.3 	William Henry Harrison	7.8	428
7.4 	Leslie and Ron	9.5	1,080
7.5 	Gryzzlbox	8.4	413
7.6 	Save JJ's	8.3	402
7.7 	Donna and Joe	8.5	432
7.8 	Ms. Ludgate-Dwyer Goes to Washington	8.2	414
7.9 	Pie-Mary	8.6	439
7.10 	The Johnny Karate Super Awesome Musical Explosion Show	8.4	573
7.11 	Two Funerals	8.7	437
7.12 	One Last Ride: Part 1	9.6	1,288
7.13 	One Last Ride: Part 2	9.7	1,566
